language,page_title,domain,kingdom,phylum,class,order,suborder,superfamily,family,genus,species,Wikidata,Wikispecies,ADW,BOLD,CoL,GBIF,iNaturalist,IRMNG,ITIS,IUCN,NCBI,Open Tree of Life,RD,Species+
en,Wildlife,,,,,,,,,,,,,,,,,,,,,,,,
en,Sleep in animals,,,,,,,,,,,,,,,,,,,,,,,,
en,Animal cognition,,,,,,,,,,,,,,,,,,,,,,,,
en,Animal locomotion,,,,,,,,,,,,,,,,,,,,,,,,
en,Animal,,,,,,,,,,,,,,,,,,,,,,,,
en,Lists of animals,,,,,,,,,,,,,,,,,,,,,,,,
en,ParaHoxozoa,,,,,,,,,,,,,,,,,,,,,,,,
en,Parazoa,,,,,,,,,,,,,,,,,,,,,,,,
en,Phreatobite,,,,,,,,,,,,,,,,,,,,,,,,
en,Animal genetic resources for food and agriculture,,,,,,,,,,,,,,,,,,,,,,,,
en,DAD-IS,,,,,,,,,,,,,,,,,,,,,,,,
en,EDGE species,,,,,,,,,,,,,,,,,,,,,,,,
en,Endling,,,,,,,,,,,,,,,,,,,,,,,,
en,Favourable conservation status of wolves in Europe,,,,,,,,,,,,,,,,,,,,,,,,
en,African forest elephant,,,,,,,,,,,,,,,,,,,,,,,,
en,Amatola toad,,,,,,,,,,,,,,,,,,,,,,,,
en,Anjouan scops owl,,,,,,,,,,,,,,,,,,,,,,,,
en,Annobón scops owl,,,,,,,,,,,,,,,,,,,,,,,,
en,African wild ass,,,,,,,,,,,,,,,,,,,,,,,,
en,Bale Mountains tree frog,,,,,,,,,,,,,,,,,,,,,,,,
en,Belalanda chameleon,,,,,,,,,,,,,,,,,,,,,,,,
en,Black rhinoceros,,,,,,,,,,,,,,,,,,,,,,,,
en,Black-and-white ruffed lemur,,,,,,,,,,,,,,,,,,,,,,,,
en,Blue-eyed black lemur,,,,,,,,,,,,,,,,,,,,,,,,
en,Bouvier's red colobus,,,,,,,,,,,,,,,,,,,,,,,,
en,Brookesia bonsi,,,,,,,,,,,,,,,,,,,,,,,,
en,Brookesia desperata,,,,,,,,,,,,,,,,,,,,,,,,
